,chain_id,denom,type_asset,supply,description,denom_units,display,name,symbol,uri,denom_base,type_asset_base,type_asset_source,path,channels,chain_id_counterparty,supply_base,chain_id_base,channels_number,admin,ibc,traces,chain_name
10,acre_9052-1,ibc/FFC19355CBEABDBA8C03703F9E552FFF22751B3288051EA44C8DB9605BF3EA4A,ics20,50000000000000000,,,,,,,erc20/0xAE6D3334989a22A65228732446731438672418F2,sdk.coin,,transfer/channel-0/transfer/channel-491/transfer/channel-0/transfer/channel-204/transfer/channel-40/transfer/channel-0/transfer/channel-204/transfer/channel-40/transfer/channel-0/transfer/channel-491/transfer/channel-0/transfer/channel-491,"['channel-0', 'channel-491', 'channel-0', 'channel-204', 'channel-40', 'channel-0', 'channel-204', 'channel-40', 'channel-0', 'channel-491', 'channel-0', 'channel-491']",osmosis-1,,,12,,"{'source_channel': 'channel-0', 'dst_channel': 'channel-490', 'source_denom': ''}",,acrechain
11,juno-1,ibc/6523775338F317C0DAE11D1C81198B96B4A62B08F7002FB688EB99ED7D089602,ics20,1000000,,,,,,,uosmo,sdk.coin,ics20,transfer/channel-1/transfer/channel-141/transfer/channel-143/transfer/channel-5/transfer/channel-17/transfer/channel-141/transfer/channel-75/transfer/channel-5/transfer/channel-29/transfer/channel-37/transfer/channel-0/transfer/channel-141,"['channel-1', 'channel-141', 'channel-143', 'channel-5', 'channel-17', 'channel-141', 'channel-75', 'channel-5', 'channel-29', 'channel-37', 'channel-0', 'channel-141']",cosmoshub-4,,,12,,"{'source_channel': 'channel-1', 'dst_channel': 'channel-207', 'source_denom': 'ibc/0926E95D020620FC998A067BC95E9B5022698F5E7EFF5D9474A98E6DCC4F2096'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'cosmoshub-4', 'channel_id': 'channel-207', 'base_denom': 'ibc/0926E95D020620FC998A067BC95E9B5022698F5E7EFF5D9474A98E6DCC4F2096', 'chain_name': 'cosmoshub', 'base_supply': 1000000}, 'chain': {'channel_id': 'channel-1', 'path': 'transfer/channel-1/transfer/channel-141/transfer/channel-143/transfer/channel-5/transfer/channel-17/transfer/channel-141/transfer/channel-75/transfer/channel-5/transfer/channel-29/transfer/channel-37/transfer/channel-0/transfer/channel-141/uosmo'}}]",juno
12,cosmoshub-4,ibc/1AA9F58E276FF2FF6227F126DA24DD31B424C08FA30D7C366C94DF2B423E0F62,ics20,1005703,,,,,,,uatom,sdk.coin,ics20,transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0,"['channel-343', 'channel-3', 'channel-0', 'channel-343', 'channel-3', 'channel-0', 'channel-391', 'channel-5', 'channel-0', 'channel-391', 'channel-5', 'channel-0']",kaiyo-1,,,12,,"{'source_channel': 'channel-343', 'dst_channel': 'channel-0', 'source_denom': 'ibc/0412FBD656810868A2A097BD9DAC404A10BA4E64E8E2497127259AB1124098DE'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'kaiyo-1', 'channel_id': 'channel-0', 'base_denom': 'ibc/0412FBD656810868A2A097BD9DAC404A10BA4E64E8E2497127259AB1124098DE', 'chain_name': 'kujira', 'base_supply': 1005703}, 'chain': {'channel_id': 'channel-343', 'path': 'transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0/uatom'}}]",cosmoshub
13,cosmoshub-4,ibc/EF0DFC4851126BA61650BEB46CF67D37859246BA20D7DC4CD0FA1B3B118927C1,ics20,4950000,,,,,,,uatom,sdk.coin,,transfer/channel-141/transfer/channel-5/transfer/channel-9/transfer/channel-141/transfer/channel-5/transfer/channel-9/transfer/channel-141/transfer/channel-5/transfer/channel-9/transfer/channel-141/transfer/channel-5/transfer/channel-9,"['channel-141', 'channel-5', 'channel-9', 'channel-141', 'channel-5', 'channel-9', 'channel-141', 'channel-5', 'channel-9', 'channel-141', 'channel-5', 'channel-9']",osmosis-1,,,12,,"{'source_channel': 'channel-141', 'dst_channel': 'channel-0', 'source_denom': ''}",,cosmoshub
14,evmos_9001-2,ibc/44199C91A3F9B50958D93E9B9F4E639DF5B22285B9E1CF5A3DDE0A30F567DB3C,ics20,1000000000000000000,,,,,,,aevmos,sdk.coin,,transfer/channel-0/transfer/channel-0/transfer/channel-292/transfer/channel-0/transfer/channel-0/transfer/channel-292/transfer/channel-0/transfer/channel-0/transfer/channel-292/transfer/channel-0/transfer/channel-0/transfer/channel-292,"['channel-0', 'channel-0', 'channel-292', 'channel-0', 'channel-0', 'channel-292', 'channel-0', 'channel-0', 'channel-292', 'channel-0', 'channel-0', 'channel-292']",osmosis-1,,,12,,"{'source_channel': 'channel-0', 'dst_channel': 'channel-204', 'source_denom': ''}",,evmos
15,canto_7700-1,ibc/61AA921CD2CB90C21A2EB77C686272F2A467805B2A86AA00F382D4DC95ABACA4,ics20,35006941,,,,,,,gravity0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,erc20,ics20,transfer/channel-0/transfer/channel-17/transfer/channel-141/transfer/channel-144/transfer/channel-17/transfer/channel-141/transfer/channel-208/transfer/channel-2/transfer/channel-281/transfer/channel-10/transfer/channel-0/transfer/channel-281,"['channel-0', 'channel-17', 'channel-141', 'channel-144', 'channel-17', 'channel-141', 'channel-208', 'channel-2', 'channel-281', 'channel-10', 'channel-0', 'channel-281']",gravity-bridge-3,,,12,,"{'source_channel': 'channel-0', 'dst_channel': 'channel-88', 'source_denom': 'ibc/8FA3332488A048A49C5FB35A3EA790F515EF53CBDE83416C10635B5EC1373125'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'gravity-bridge-3', 'channel_id': 'channel-88', 'base_denom': 'ibc/8FA3332488A048A49C5FB35A3EA790F515EF53CBDE83416C10635B5EC1373125', 'chain_name': 'gravitybridge', 'base_supply': 35006941}, 'chain': {'channel_id': 'channel-0', 'path': 'transfer/channel-0/transfer/channel-17/transfer/channel-141/transfer/channel-144/transfer/channel-17/transfer/channel-141/transfer/channel-208/transfer/channel-2/transfer/channel-281/transfer/channel-10/transfer/channel-0/transfer/channel-281/gravity0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'}}, {'type': 'ibc', 'counterparty': {'chain_id': 'cosmoshub-4', 'channel_id': 'channel-281', 'base_denom': 'ibc/3FD4A36C79B909BB11EE9857771401F5620123CD54661DDEB4EF1BD817879F77', 'chain_name': 'cosmoshub', 'base_supply': 35006941}, 'chain': {'channel_id': 'channel-17', 'path': 'transfer/channel-17/transfer/channel-141/transfer/channel-144/transfer/channel-17/transfer/channel-141/transfer/channel-208/transfer/channel-2/transfer/channel-281/transfer/channel-10/transfer/channel-0/transfer/channel-281/gravity0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'}}]",canto
16,noble-1,ibc/18C31F47BE0223E0547872F397FE6D5D2B71CA2EAF908A56F7B083ADCDAB261B,ics20,56802,,,,,,,uusdc,sdk.coin,,transfer/channel-1/transfer/channel-2188/transfer/channel-19/transfer/channel-1/transfer/channel-0/transfer/channel-536/transfer/channel-1/transfer/channel-2188/transfer/channel-19/transfer/channel-4/transfer/channel-660/transfer/channel-19,"['channel-1', 'channel-2188', 'channel-19', 'channel-1', 'channel-0', 'channel-536', 'channel-1', 'channel-2188', 'channel-19', 'channel-4', 'channel-660', 'channel-19']",osmosis-1,,,12,,"{'source_channel': 'channel-1', 'dst_channel': 'channel-750', 'source_denom': ''}",,noble
17,injective-1,ibc/1AA9F58E276FF2FF6227F126DA24DD31B424C08FA30D7C366C94DF2B423E0F62,ics20,1005703,,,,,,,uatom,sdk.coin,ics20,transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0,"['channel-343', 'channel-3', 'channel-0', 'channel-343', 'channel-3', 'channel-0', 'channel-391', 'channel-5', 'channel-0', 'channel-391', 'channel-5', 'channel-0']",kaiyo-1,,,12,,"{'source_channel': 'channel-343', 'dst_channel': 'channel-0', 'source_denom': 'ibc/0412FBD656810868A2A097BD9DAC404A10BA4E64E8E2497127259AB1124098DE'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'kaiyo-1', 'channel_id': 'channel-0', 'base_denom': 'ibc/0412FBD656810868A2A097BD9DAC404A10BA4E64E8E2497127259AB1124098DE', 'chain_name': 'kujira', 'base_supply': 1005703}, 'chain': {'channel_id': 'channel-343', 'path': 'transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-343/transfer/channel-3/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0/transfer/channel-391/transfer/channel-5/transfer/channel-0/uatom'}}]",injective
18,injective-1,ibc/EF0DFC4851126BA61650BEB46CF67D37859246BA20D7DC4CD0FA1B3B118927C1,ics20,4950000,,,,,,,uatom,sdk.coin,,transfer/channel-141/transfer/channel-5/transfer/channel-9/transfer/channel-141/transfer/channel-5/transfer/channel-9/transfer/channel-141/transfer/channel-5/transfer/channel-9/transfer/channel-141/transfer/channel-5/transfer/channel-9,"['channel-141', 'channel-5', 'channel-9', 'channel-141', 'channel-5', 'channel-9', 'channel-141', 'channel-5', 'channel-9', 'channel-141', 'channel-5', 'channel-9']",osmosis-1,,,12,,"{'source_channel': 'channel-141', 'dst_channel': 'channel-0', 'source_denom': ''}",,injective
19,coreum-mainnet-1,ibc/98D01B33078D149938C9B1E2F760E55F4991E76D2A59244DF78F10C4D12863F4,ics20,100000,,,,,,,uusdc,sdk.coin,ics20,transfer/channel-9/transfer/channel-141/transfer/channel-2188/transfer/channel-9/transfer/channel-536/transfer/channel-1/transfer/channel-0/transfer/channel-660/transfer/channel-2/transfer/channel-0/transfer/channel-660/transfer/channel-19,"['channel-9', 'channel-141', 'channel-2188', 'channel-9', 'channel-536', 'channel-1', 'channel-0', 'channel-660', 'channel-2', 'channel-0', 'channel-660', 'channel-19']",cosmoshub-4,,,12,,"{'source_channel': 'channel-9', 'dst_channel': 'channel-660', 'source_denom': 'ibc/6898AE1685C5915832C2E026FF6324E16F0F22CA6C07FF2CCE950F468D5E4D2F'}","[{'type': 'ibc', 'counterparty': {'chain_id': 'cosmoshub-4', 'channel_id': 'channel-660', 'base_denom': 'ibc/6898AE1685C5915832C2E026FF6324E16F0F22CA6C07FF2CCE950F468D5E4D2F', 'chain_name': 'cosmoshub', 'base_supply': 600000}, 'chain': {'channel_id': 'channel-9', 'path': 'transfer/channel-9/transfer/channel-141/transfer/channel-2188/transfer/channel-9/transfer/channel-536/transfer/channel-1/transfer/channel-0/transfer/channel-660/transfer/channel-2/transfer/channel-0/transfer/channel-660/transfer/channel-19/uusdc'}}]",coreum
